UID,Assets at risk,Containers/Points of attack,Threat communities,Threat Types,Effects,Scenario,blank-H,Plan A Loss Event Frequency (LEF) Lower Bound,Plan A Loss Event Frequency (LEF) Most Likely,Plan A Loss Event Frequency (LEF) Upper Bound,Plan A Loss Magnitude (LM) Lower Bound,Plan A Loss Magnitude (LM) Most Likely,Plan A Loss Magnitude (LM) Upper Bound,Plan B Control(s),Plan B Initial Control Cost Lower Bound,Plan B Initial Control Cost Most Likely,Plan B Initial Control Cost Upper Bound,Plan B Recurring Control Cost Lower Bound,Plan B Recurring Control Cost Most Likely,Plan B Recurring Control Cost Upper Bound,Plan B Loss Event Frequency (LEF) Lower Bound,Plan B Loss Event Frequency (LEF) Most Likely,Plan B Loss Event Frequency (LEF) Upper Bound,Plan B Loss Magnitude (LM) Lower Bound,Plan B Loss Magnitude (LM) Most Likely,Plan B Loss Magnitude (LM) Upper Bound,Plan C Control(s),Plan C Initial Control Cost Lower Bound,Plan C Initial Control Cost Most Likely,Plan C Initial Control Cost Upper Bound,Plan C Recurring Control Cost Lower Bound,Plan C Recurring Control Cost Most Likely,Plan C Recurring Control Cost Upper Bound,Plan C Loss Event Frequency (LEF) Lower Bound,Plan C Loss Event Frequency (LEF) Most Likely,Plan C Loss Event Frequency (LEF) Upper Bound,Plan C Loss Magnitude (LM) Lower Bound,Plan C Loss Magnitude (LM) Most Likely,Plan C Loss Magnitude (LM) Upper Bound,PLAN-A,PLAN-B,PLAN-C
Risk-17,Non Public Information (NPI),SFQ0 Risk Reporting Server DEV Server on Palm Domain,external attackers,deliberately,confidentiality,external attackers deliberately impact the confidentiality of Non Public Information (NPI) through SFQ0 Risk Reporting Server DEV Server on Palm Domain.,NA,0.013333333333333334,0.1,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.07692307692307693,0.2,750000,1000000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,750000,1000000,10000000,672297.794014033,251941.19527495012,230123.33402114542
Risk-18,Non Public Information (NPI),Database instance on SFQ0 Risk Reporting Server DEV,external attackers,deliberately,confidentiality,external attackers deliberately impact the confidentiality of Non Public Information (NPI) through Database instance on SFQ0 Risk Reporting Server DEV.,NA,0.013333333333333334,0.1,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.07692307692307693,0.2,750000,1000000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,750000,1000000,10000000,657390.6630591836,263612.50600317155,227342.13398078847
Risk-19,Non Public Information (NPI),RBC Bank US sysadmin jump stations on Palm Domain,external attackers,deliberately,confidentiality,external attackers deliberately impact the confidentiality of Non Public Information (NPI) through RBC Bank US sysadmin jump stations on Palm Domain.,NA,0.013333333333333334,0.1,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.07692307692307693,0.2,750000,1000000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,750000,1000000,10000000,652425.2068642208,242369.82861515647,229823.36025328224
Risk-20,Non Public Information (NPI),Monitored servers on Maple Domain,external attackers,deliberately,confidentiality,external attackers deliberately impact the confidentiality of Non Public Information (NPI) through Monitored servers on Maple Domain.,NA,0.013333333333333334,0.1,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.07692307692307693,0.2,750000,1000000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,750000,1000000,10000000,662670.7202712029,254959.4821924856,234120.18087840037
Risk-21,Non Public Information (NPI),Monitored servers on Birch Domain,external attackers,deliberately,confidentiality,external attackers deliberately impact the confidentiality of Non Public Information (NPI) through Monitored servers on Birch Domain.,NA,0.013333333333333334,0.1,0.5,750000,3000000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.07692307692307693,0.2,750000,1000000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.06666666666666667,0.2,750000,1000000,10000000,652291.965325156,245400.8440651741,238706.3888406538
Risk-22,Non Public Information (NPI),Other devices on Palm Domain,privileged insiders (RBC Bank US & Vendors),deliberately,availability,privileged insiders (RBC Bank US & Vendors) deliberately impact the availability of Non Public Information (NPI) through Other devices on Palm Domain.,NA,0.013333333333333334,0.2,0.5,5000,200000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.14285714285714285,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,511204.5663684993,287723.04531783523,237452.0329278337
Risk-23,Non Public Information (NPI),SFQ0 Risk Reporting Server Server on Palm Domain,privileged insiders (RBC Bank US & Vendors),deliberately,availability,privileged insiders (RBC Bank US & Vendors) deliberately impact the availability of Non Public Information (NPI) through SFQ0 Risk Reporting Server Server on Palm Domain.,NA,0.013333333333333334,0.2,0.5,5000,200000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.14285714285714285,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,510053.0039545414,279901.11447104125,220662.27003710213
Risk-24,Non Public Information (NPI),SFQ0 Risk Reporting Server DEV Server on Palm Domain,privileged insiders (RBC Bank US & Vendors),deliberately,availability,privileged insiders (RBC Bank US & Vendors) deliberately impact the availability of Non Public Information (NPI) through SFQ0 Risk Reporting Server DEV Server on Palm Domain.,NA,0.013333333333333334,0.2,0.5,5000,200000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.14285714285714285,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,496291.7276124607,288290.43185737677,238163.47369278045
Risk-25,Non Public Information (NPI),Database instance on SFQ0 Risk Reporting Server DEV,privileged insiders (RBC Bank US & Vendors),deliberately,availability,privileged insiders (RBC Bank US & Vendors) deliberately impact the availability of Non Public Information (NPI) through Database instance on SFQ0 Risk Reporting Server DEV.,NA,0.013333333333333334,0.2,0.5,5000,200000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.14285714285714285,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,507539.3556837418,296954.01832838985,216138.56375415745
Risk-26,Non Public Information (NPI),RBC Bank US sysadmin jump stations on Palm Domain,privileged insiders (RBC Bank US & Vendors),deliberately,availability,privileged insiders (RBC Bank US & Vendors) deliberately impact the availability of Non Public Information (NPI) through RBC Bank US sysadmin jump stations on Palm Domain.,NA,0.013333333333333334,0.2,0.5,5000,200000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.14285714285714285,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,514592.74068555265,277502.06666032155,236784.0454870221
Risk-27,Non Public Information (NPI),Monitored servers on Maple Domain,privileged insiders (RBC Bank US & Vendors),deliberately,availability,privileged insiders (RBC Bank US & Vendors) deliberately impact the availability of Non Public Information (NPI) through Monitored servers on Maple Domain.,NA,0.013333333333333334,0.2,0.5,5000,200000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.14285714285714285,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.09090909090909091,0.2,5000,200000,10000000,501922.20394881815,266904.474347467,223369.01599327946
Risk-28,Non Public Information (NPI),Monitored servers on Birch Domain,privileged insiders (RBC Bank US & Vendors),deliberately,availability,privileged insiders (RBC Bank US & Vendors) deliberately impact the availability of Non Public Information (NPI) through Monitored servers on Birch Domain.,NA,0.013333333333333334,0.2,0.5,5000,200000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.14285714285714285,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, CIS Hardened Windows Server Image, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,494611.5835335546,282016.2075068113,235464.27540644808
Risk-29,Non Public Information (NPI),Other devices on Palm Domain,malicious software,deliberately,availability,malicious software deliberately impact the availability of Non Public Information (NPI) through Other devices on Palm Domain.,NA,0.013333333333333334,0.14285714285714285,0.5,5000,200000,10000000,"Crit. sec. patches monthly, OS MFA, App MFA, Net ACL/FW Default Deny IN,",1500,3000,24000,0,0,0,0.013333333333333334,0.125,0.2,5000,200000,10000000,"Host full featured Endpoint Security Suite, Vuln. scan remediation, Host FW Default Deny IN, Host FW Default Deny OUT, All Sec Patches Monthly, Server log SIEM, NPI Scanning and Response, OS MFA, App MFA, Net ACL/FW Default Deny IN,",3000,65000,100000,0,0,0,0.013333333333333334,0.1,0.2,5000,200000,10000000,448733.7451867185,268402.7421324639,235918.3171831911
